state,month,aged,disabled,abd_total,net_new,gross_new_est
California,201601,1195897,1051608,2247505,,
California,201602,1199145,1049604,2248749,1244,19224
California,201603,1203579,1047690,2251269,2520,20510
California,201604,1203819,1043669,2247488,-3781,14229
California,201605,1206109,1040758,2246867,-621,17359
California,201606,1209659,1038683,2248342,1475,19450
California,201607,1205261,1034708,2239969,-8373,9614
California,201608,1206484,1032235,2238719,-1250,16670
California,201609,1204599,1028240,2232839,-5880,12030
California,201610,1205884,1025073,2230957,-1882,15981
California,201611,1207437,1021455,2228892,-2065,15783
California,201612,1207468,1018973,2226441,-2451,15380
California,201701,1209539,1015783,2225322,-1119,16693
California,201702,1211774,1014545,2226319,997,18800
California,201703,1216727,1012191,2228918,2599,20410
California,201704,1219668,1009493,2229161,243,18074
California,201705,1221376,1006939,2228315,-846,16987
California,201706,1223526,1004602,2228128,-187,17640
California,201707,1226526,1002907,2229433,1305,19130
California,201708,1229963,1001407,2231370,1937,19772
California,201709,1231926,1000069,2231995,625,18476
California,201710,1234915,998750,2233665,1670,19526
California,201711,1237727,998406,2236133,2468,20337
California,201712,1242092,1002349,2244441,8308,26197
California,201801,1243379,1001151,2244530,89,18045
California,201802,1243566,999421,2242987,-1543,16413
California,201803,1246365,997365,2243730,743,18687
California,201804,1247082,994490,2241572,-2158,15792
California,201805,1250003,991814,2241817,245,18178
California,201806,1252310,990396,2242706,889,18824
California,201807,1255211,988274,2243485,779,18721
California,201808,1258492,986206,2244698,1213,19161
California,201809,1260356,983919,2244275,-423,17535
California,201810,1263727,981376,2245103,828,18782
California,201811,1265625,977976,2243601,-1502,16459
California,201812,1267114,974395,2241509,-2092,15857
California,201901,1269116,970279,2239395,-2114,15818
California,201902,1270109,964149,2234258,-5137,12778
California,201903,1272419,956596,2229015,-5243,12631
California,201904,1273195,946932,2220127,-8888,8944
California,201905,1280184,939750,2219934,-193,17568
California,201906,1282044,937168,2219212,-722,17037
California,201907,1285142,935281,2220423,1211,18965
California,201908,1288313,933725,2222038,1615,19378
California,201909,1291773,931769,2223542,1504,19280
California,201910,1295837,930436,2226273,2731,20519
California,201911,1296746,928004,2224750,-1523,16287
California,201912,1299124,925614,2224738,-12,17786
California,202001,1302214,923682,2225896,1158,18956
California,202002,1302938,921643,2224581,-1315,16492
California,202003,1302556,918384,2220940,-3641,14156
California,202004,1307201,917346,2224547,3607,21375
California,202005,1310450,914064,2224514,-33,17763
California,202006,1315701,912700,2228401,3887,21683
California,202007,1322345,911319,2233664,5263,23090
California,202008,1327050,910415,2237465,3801,21670
California,202009,1331719,909513,2241232,3767,21667
California,202010,1337564,908962,2246526,5294,23224
California,202011,1342124,907186,2249310,2784,20756
California,202012,1350083,901776,2251859,2549,20543
California,202101,1351661,899271,2250932,-927,17088
California,202102,1347898,896360,2244258,-6674,11333
California,202103,1352244,894401,2246645,2387,20341
California,202104,1357214,893349,2250563,3918,21891
California,202105,1363293,891145,2254438,3875,21880
California,202106,1370916,889111,2260027,5589,23625
California,202107,1378699,887119,2265818,5791,23871
California,202108,1386392,884854,2271246,5428,23555
California,202109,1392678,882841,2275519,4273,22443
California,202110,1398229,881010,2279239,3720,21924
California,202111,1403375,878783,2282158,2919,21153
California,202112,1408727,876436,2285163,3005,21262
California,202201,1414810,875192,2290002,4839,23120
California,202202,1416524,872765,2289289,-713,17607
California,202203,1421728,870790,2292518,3229,21543
California,202204,1427592,869178,2296770,4252,22592
California,202205,1442322,867902,2310224,13454,31828
California,202206,1449767,866310,2316077,5853,24335
California,202207,1463339,864388,2327727,11650,30179
California,202208,1473216,862335,2335551,7824,26446
California,202209,1481725,859893,2341618,6067,24751
California,202210,1490733,857733,2348466,6848,25581
California,202211,1499374,855249,2354623,6157,24945
California,202212,1506592,852093,2358685,4062,22899
Florida,202008,670041,629386,1299427,,
Florida,202009,670836,631152,1301988,2561,12956
Florida,202010,674216,633511,1307727,5739,16155
Florida,202011,677858,634874,1312732,5005,15467
Florida,202012,681413,636087,1317500,4768,15270
Florida,202101,699178,618697,1317875,375,10915
Florida,202102,701000,621087,1322087,4212,14755
Florida,202103,705010,624772,1329782,7695,18272
Florida,202104,708421,628617,1337038,7256,17894
Florida,202105,711177,632024,1343201,6163,16859
Florida,202106,713949,635479,1349428,6227,16973
Florida,202107,716324,639094,1355418,5990,16785
Florida,202108,718938,644180,1363118,7700,18543
Florida,202109,719999,647656,1367655,4537,15442
Florida,202110,722290,650948,1373238,5583,16524
Florida,202111,725326,653242,1378568,5330,16316
Florida,202112,726555,653092,1379647,1079,12108
Florida,202201,739138,623035,1362173,-17474,-6437
Florida,202202,739854,623025,1362879,706,11603
Florida,202203,743250,623124,1366374,3495,14398
Florida,202204,746325,623115,1369440,3066,13997
Florida,202205,749797,623448,1373245,3805,14761
Florida,202206,753054,623125,1376179,2934,13920
Florida,202207,756191,622583,1378774,2595,13604
